# HELP kube_certificatesigningrequest_labels Kubernetes labels converted to Prometheus labels.
# TYPE kube_certificatesigningrequest_labels gauge
# HELP kube_certificatesigningrequest_created Unix creation timestamp
# TYPE kube_certificatesigningrequest_created gauge
# HELP kube_certificatesigningrequest_condition The number of each certificatesigningrequest condition
# TYPE kube_certificatesigningrequest_condition gauge
# HELP kube_certificatesigningrequest_cert_length Length of the issued cert
# TYPE kube_certificatesigningrequest_cert_length gauge
# HELP kube_configmap_info Information about configmap.
# TYPE kube_configmap_info gauge
kube_configmap_info{namespace="forethought-kodo",configmap="kodo"} 1
kube_configmap_info{namespace="cattle-prometheus-p-jp9wq",configmap="prometheus-project-monitoring-rulefiles-0"} 1
kube_configmap_info{namespace="kube-public",configmap="cluster-info"} 1
kube_configmap_info{namespace="forethought-kodo",configmap="kodo-ws"} 1
kube_configmap_info{namespace="cattle-prometheus-p-jp9wq",configmap="project-monitoring.v1"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="cluster-monitoring.v2"} 1
kube_configmap_info{namespace="func",configmap="func-config"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="prometheus-cluster-monitoring-nginx"} 1
kube_configmap_info{namespace="forethought-webclient",configmap="front-web-config"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="grafana-cluster-monitoring-nginx"} 1
kube_configmap_info{namespace="kube-system",configmap="kube-proxy"} 1
kube_configmap_info{namespace="cattle-prometheus-p-jp9wq",configmap="grafana-istio-project-monitoring-dashboards"} 1
kube_configmap_info{namespace="kube-system",configmap="udp-services"} 1
kube_configmap_info{namespace="kube-system",configmap="nginx-configuration"} 1
kube_configmap_info{namespace="func",configmap="func-worker-config"} 1
kube_configmap_info{namespace="kube-system",configmap="kubelet-config-1.19"} 1
kube_configmap_info{namespace="forethought-inner-app",configmap="trigger-conf"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="prometheus-cluster-monitoring-rulefiles-0"} 1
kube_configmap_info{namespace="utils",configmap="dataway-license"} 1
kube_configmap_info{namespace="kube-system",configmap="coredns"} 1
kube_configmap_info{namespace="utils",configmap="data-warehouse-config"} 1
kube_configmap_info{namespace="forethought-webclient",configmap="front-nginx-config"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="grafana-istio-cluster-monitoring-dashboards"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="cluster-monitoring.v1"} 1
kube_configmap_info{namespace="cattle-prometheus-p-jp9wq",configmap="grafana-project-monitoring-dashboards"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="grafana-cluster-monitoring-provisionings"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="grafana-cluster-monitoring-dashboards"} 1
kube_configmap_info{namespace="kube-system",configmap="kubeadm-config"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="monitoring-operator.v2"} 1
kube_configmap_info{namespace="middleware",configmap="message-desk"} 1
kube_configmap_info{namespace="utils",configmap="dataway-config"} 1
kube_configmap_info{namespace="cattle-prometheus-p-jp9wq",configmap="grafana-project-monitoring-nginx"} 1
kube_configmap_info{namespace="launcher",configmap="launcher-settings"} 1
kube_configmap_info{namespace="forethought-webclient",configmap="management-web-config"} 1
kube_configmap_info{namespace="launcher",configmap="setting-yaml"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="operator-init-cluster-monitoring"} 1
kube_configmap_info{namespace="func2",configmap="requirements-config"} 1
kube_configmap_info{namespace="kube-system",configmap="tcp-services"} 1
kube_configmap_info{namespace="func2",configmap="user-config"} 1
kube_configmap_info{namespace="forethought-core",configmap="static-resource-nginx"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="monitoring-operator.v1"} 1
kube_configmap_info{namespace="forethought-kodo",configmap="kodo-inner"} 1
kube_configmap_info{namespace="kube-system",configmap="ingress-controller-leader-nginx"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="operator-init-monitoring-operator"} 1
kube_configmap_info{namespace="middleware",configmap="message-desk-worker"} 1
kube_configmap_info{namespace="cattle-prometheus-p-jp9wq",configmap="prometheus-project-monitoring-nginx"} 1
kube_configmap_info{namespace="forethought-kodo",configmap="kodo-x"} 1
kube_configmap_info{namespace="forethought-core",configmap="core"} 1
kube_configmap_info{namespace="cattle-prometheus",configmap="monitoring-operator.v3"} 1
kube_configmap_info{namespace="forethought-kodo",configmap="kodo-nginx"} 1
kube_configmap_info{namespace="launcher",configmap="k8s-config"} 1
kube_configmap_info{namespace="func",configmap="func-inner-config"} 1
kube_configmap_info{namespace="cattle-prometheus-p-jp9wq",configmap="grafana-project-monitoring-provisionings"} 1
kube_configmap_info{namespace="middleware",configmap="redis-config"} 1
kube_configmap_info{namespace="forethought-webclient",configmap="management-nginx-config"} 1
kube_configmap_info{namespace="kube-system",configmap="extension-apiserver-authentication"} 1
kube_configmap_info{namespace="kube-system",configmap="kube-flannel-cfg"} 1
# HELP kube_configmap_created Unix creation timestamp
# TYPE kube_configmap_created gauge
kube_configmap_created{namespace="kube-public",configmap="cluster-info"} 1.609741612e+09
kube_configmap_created{namespace="cattle-prometheus-p-jp9wq",configmap="project-monitoring.v1"} 1.620806978e+09
kube_configmap_created{namespace="cattle-prometheus",configmap="cluster-monitoring.v2"} 1.620807099e+09
kube_configmap_created{namespace="func",configmap="func-config"} 1.61891366e+09
kube_configmap_created{namespace="cattle-prometheus",configmap="prometheus-cluster-monitoring-nginx"} 1.620807082e+09
kube_configmap_created{namespace="forethought-webclient",configmap="front-web-config"} 1.61891366e+09
kube_configmap_created{namespace="forethought-kodo",configmap="kodo-ws"} 1.61891366e+09
kube_configmap_created{namespace="cattle-prometheus-p-jp9wq",configmap="grafana-istio-project-monitoring-dashboards"} 1.620806978e+09
kube_configmap_created{namespace="kube-system",configmap="udp-services"} 1.609748168e+09
kube_configmap_created{namespace="kube-system",configmap="nginx-configuration"} 1.609748168e+09
kube_configmap_created{namespace="func",configmap="func-worker-config"} 1.61891366e+09
kube_configmap_created{namespace="kube-system",configmap="kubelet-config-1.19"} 1.609741611e+09
kube_configmap_created{namespace="cattle-prometheus",configmap="grafana-cluster-monitoring-nginx"} 1.620807082e+09
kube_configmap_created{namespace="kube-system",configmap="kube-proxy"} 1.609741612e+09
kube_configmap_created{namespace="cattle-prometheus",configmap="prometheus-cluster-monitoring-rulefiles-0"} 1.620807083e+09
kube_configmap_created{namespace="utils",configmap="dataway-license"} 1.61891366e+09
kube_configmap_created{namespace="kube-system",configmap="coredns"} 1.609741612e+09
kube_configmap_created{namespace="utils",configmap="data-warehouse-config"} 1.61891366e+09
kube_configmap_created{namespace="forethought-webclient",configmap="front-nginx-config"} 1.61891366e+09
kube_configmap_created{namespace="forethought-inner-app",configmap="trigger-conf"} 1.61891366e+09
kube_configmap_created{namespace="cattle-prometheus",configmap="grafana-istio-cluster-monitoring-dashboards"} 1.620807082e+09
kube_configmap_created{namespace="cattle-prometheus",configmap="cluster-monitoring.v1"} 1.620807081e+09
kube_configmap_created{namespace="cattle-prometheus-p-jp9wq",configmap="grafana-project-monitoring-dashboards"} 1.620806978e+09
kube_configmap_created{namespace="cattle-prometheus",configmap="grafana-cluster-monitoring-provisionings"} 1.620807082e+09
kube_configmap_created{namespace="cattle-prometheus",configmap="grafana-cluster-monitoring-dashboards"} 1.620807082e+09
kube_configmap_created{namespace="kube-system",configmap="kubeadm-config"} 1.609741611e+09
kube_configmap_created{namespace="cattle-prometheus",configmap="monitoring-operator.v2"} 1.620807042e+09
kube_configmap_created{namespace="middleware",configmap="message-desk"} 1.61891366e+09
kube_configmap_created{namespace="utils",configmap="dataway-config"} 1.61891366e+09
